rank,word,count,freq_per_million
712,sent,319,159.463084
713,followed,319,159.463084
714,traditional,319,159.463084
715,involved,318,158.9632
716,natural,318,158.9632
717,command,318,158.9632
718,spanish,318,158.9632
719,seen,317,158.463316
720,studio,317,158.463316
721,units,317,158.463316
722,greek,317,158.463316
723,introduced,317,158.463316
724,higher,317,158.463316
725,africa,316,157.963431
726,limited,316,157.963431
727,mexico,316,157.963431
728,either,315,157.463547
729,route,315,157.463547
730,smith,314,156.963663
731,schools,314,156.963663
732,killed,313,156.463779
733,politician,313,156.463779
734,taken,312,155.963894
735,staff,311,155.46401
736,companies,310,154.964126
737,notable,309,154.464242
738,lake,308,153.964357
739,foreign,308,153.964357
740,officer,306,152.964589
741,pop,306,152.964589
742,sciences,305,152.464704
743,able,305,152.464704
744,sport,305,152.464704
745,type,305,152.464704
746,kingdom,304,151.96482
747,close,303,151.464936
748,paris,303,151.464936
749,eventually,302,150.965052
750,hospital,302,150.965052
751,initially,301,150.465167
752,get,300,149.965283
753,executive,300,149.965283
754,market,300,149.965283
755,thus,299,149.465399
756,coach,299,149.465399
757,future,298,148.965514
758,gallery,298,148.965514
759,movement,298,148.965514
760,largest,298,148.965514
761,artists,297,148.46563
762,issue,297,148.46563
763,guitar,297,148.46563
764,theatre,296,147.965746
765,writer,295,147.465862
766,archived,295,147.465862
767,saint,295,147.465862
768,formation,295,147.465862
769,beginning,294,146.965977
770,matches,294,146.965977
771,winning,293,146.466093
772,ride,293,146.466093
773,soul,293,146.466093
774,reached,292,145.966209
775,additional,292,145.966209
776,engineering,292,145.966209
777,multiple,291,145.466325
778,independent,291,145.466325
779,allowed,291,145.466325
780,contract,290,144.96644
781,above,289,144.466556
782,replaced,288,143.966672
783,usually,288,143.966672
784,mary,287,143.466787
785,russia,287,143.466787
786,ed,287,143.466787
787,dead,286,142.966903
788,organization,286,142.966903
789,rather,286,142.966903
790,standard,285,142.467019
791,sometimes,285,142.467019
792,census,285,142.467019
793,behind,284,141.967135
794,countries,284,141.967135
795,places,283,141.46725
796,vocals,283,141.46725
797,prince,281,140.467482
798,cultural,281,140.467482
799,tower,280,139.967598
800,woman,280,139.967598
801,start,280,139.967598
802,singer,280,139.967598
803,industry,279,139.467713
804,ground,279,139.467713
805,performed,279,139.467713
806,news,278,138.967829
807,remained,278,138.967829
808,put,278,138.967829
809,republic,278,138.967829
810,machine,277,138.467945
811,native,277,138.467945
812,senior,277,138.467945
